timestamp_1;timestamp_2;score
1412242488.108096;1412242588.010088;95.0633
1412242488.208136;1412242588.109943;100.985
1412242488.308038;1412242588.209845;99.3146
1412242488.407800;1412242588.309746;97.5462
1412242488.507425;1412242588.409740;95.2761
1412242488.606912;1412242588.509733;96.8338
1412242488.706215;1412242588.609773;95.4615
1412242488.805424;1412242588.709904;95.2018
1412242488.904727;1412242588.809852;86.2779
1412242489.004168;1412242588.909846;88.7695
1412242489.103793;1412242589.009886;85.7207
1412242489.203601;1412242589.110017;88.3549
1412242489.303549;1412242589.210149;80.6554
1412242489.403543;1412242589.310327;81.3098
1412242489.503628;1412242589.410504;84.5094
1412242489.603806;1412242589.510729;80.5805
1412242489.703984;1412242589.610861;84.7069
1412242489.804162;1412242589.710900;76.8245
1412242489.904201;1412242589.810847;82.2118
1412242490.003965;1412242589.910749;73.8334
1412242490.103728;1412242590.010697;74.2092
1412242490.203445;1412242590.110505;70.4358
1412242490.303116;1412242590.210131;64.98
1412242490.402879;1412242590.309571;59.7504
1412242490.502689;1412242590.408966;57.8868
1412242490.602589;1412242590.508268;54.9552
1412242490.702583;1412242590.607709;53.2944
1412242490.802577;1412242590.707334;53.6842
1412242490.902617;1412242590.807189;54.9693
1412242491.002702;1412242590.907182;52.1032
1412242491.102742;1412242591.007360;55.9538
1412242491.202874;1412242591.107585;54.2265
1412242491.303051;1412242591.207762;57.9045
1412242491.403321;1412242591.307986;59.715
1412242491.503592;1412242591.408210;55.509
1412242491.603724;1412242591.508433;56.9446
1412242491.703671;1412242591.608612;40.1672
1412242491.803480;1412242591.708836;52.567
1412242491.903105;1412242591.809060;57.7824
1412242492.002546;1412242591.909099;57.6191
1412242492.102032;1412242592.009093;56.7973
1412242492.201427;1412242592.108948;54.656
1412242492.300868;1412242592.208895;56.0432
1412242492.400493;1412242592.308889;50.184
1412242492.500209;1412242592.408883;53.1886
1412242492.600111;1412242592.508969;44.0782
1412242492.700105;1412242592.609100;40.3712
1412242492.800143;1412242592.709186;44.6749
1412242492.900137;1412242592.809318;39.4737
1412242493.000039;1412242592.909311;37.8904
1412242493.099710;1412242593.009305;40.0405
1412242493.199288;1412242593.109206;39.7505
1412242493.298960;1412242593.209108;38.5014
1412242493.398723;1412242593.309101;39.7383
1412242493.498579;1412242593.409141;39.0258
1412242493.598433;1412242593.509273;39.5549
1412242493.698243;1412242593.609358;40.5637
1412242493.798052;1412242593.709167;40.0967
1412242493.897954;1412242593.808746;37.4845
1412242493.997901;1412242593.908233;38.1947
1412242494.097987;1412242594.007627;38.2187
1412242494.198073;1412242594.107114;34.083
1412242494.298250;1412242594.206693;31.4936
1412242494.398428;1412242594.306364;28.5482
1412242494.498698;1412242594.406127;26.4602
1412242494.598783;1412242594.505982;26.7532
1412242494.698823;1412242594.605930;23.3967
1412242494.798863;1412242594.705832;24.8076
1412242494.898857;1412242594.805732;21.0649
1412242494.998711;1412242594.905726;24.422
1412242495.098383;1412242595.005766;25.047
1412242495.198100;1412242595.105851;29.8071
1412242495.297910;1412242595.205845;30.8894
1412242495.397764;1412242595.305839;35.0058
1412242495.497758;1412242595.405879;34.5898
1412242495.597752;1412242595.505872;36.9936
1412242495.697883;1412242595.605727;35.601
1412242495.797969;1412242595.705445;42.343
1412242495.898101;1412242595.805161;40.8619
1412242495.998187;1412242595.905016;42.0891
1412242496.098318;1412242596.004964;41.8425
1412242496.198404;1412242596.104958;43.1699
1412242496.298536;1412242596.205043;43.9613
1412242496.398713;1412242596.305129;47.5814
1412242496.498845;1412242596.405215;46.0066
1412242496.598885;1412242596.505346;44.0147
1412242496.698787;1412242596.605478;45.5239
1412242496.798503;1412242596.705426;44.5124
1412242496.898267;1412242596.805420;45.5059
1412242496.998122;1412242596.905413;46.1126
1412242497.098024;1412242597.005360;44.5715
1412242497.197971;1412242597.105308;39.5468
1412242497.297965;1412242597.205393;34.0755
1412242497.398051;1412242597.305525;35.8763
1412242497.498182;1412242597.405565;29.5482
1412242497.598314;1412242597.505513;29.894
1412242497.698354;1412242597.605275;30.1182
1412242497.798440;1412242597.704947;27.5048
1412242497.898525;1412242597.804664;25.7033
1412242497.998657;1412242597.904381;27.443
1412242498.098651;1412242598.004144;30.5446
1412242498.198413;1412242598.103999;30.1502
1412242498.298038;1412242598.203947;32.3669
1412242498.397525;1412242598.303940;30.6697
1412242498.497058;1412242598.404026;33.6312
1412242498.596498;1412242598.504250;35.7238
1412242498.696077;1412242598.604382;36.5805
1412242498.795748;1412242598.704329;40.1468
1412242498.895604;1412242598.804138;34.3549
1412242498.995551;1412242598.903902;33.682
1412242499.095544;1412242599.003618;36.8682
1412242499.195538;1412242599.103520;36.0197
1412242499.295440;1412242599.203514;34.9517
1412242499.395202;1412242599.303415;34.841
1412242499.494920;1412242599.403178;34.8969
1412242499.594775;1412242599.502941;35.4067
1412242499.694676;1412242599.602612;34.5676
1412242499.794716;1412242599.702376;34.7901
1412242499.894848;1412242599.802184;44.4036
1412242499.994980;1412242599.902132;44.2501
1412242500.095019;1412242600.002126;41.3059
1412242500.194874;1412242600.102257;33.1756
1412242500.294684;1412242600.202297;32.5995
1412242500.394586;1412242600.302383;33.1332
1412242500.494486;1412242600.402607;33.1214
1412242500.594434;1412242600.502646;32.4975
1412242500.694382;1412242600.602456;31.1816
1412242500.794421;1412242600.702035;30.3759
1412242500.894507;1412242600.801521;30.1637
1412242500.994639;1412242600.900823;30.3548
1412242501.094771;1412242601.000218;31.8364
1412242501.194764;1412242601.099705;33.025
1412242501.294573;1412242601.199375;29.9933
1412242501.394198;1412242601.299185;30.7082
1412242501.493730;1412242601.399178;31.1031
1412242501.593309;1412242601.499264;31.3489
1412242501.692981;1412242601.599442;28.9884
1412242501.792652;1412242601.699666;30.0137
1412242501.892368;1412242601.799798;29.614
1412242501.992224;1412242601.899791;27.6786
1412242502.092079;1412242601.999554;29.8514
1412242502.192027;1412242602.099179;29.2478
1412242502.291928;1412242602.198712;28.8819
1412242502.391783;1412242602.298290;27.3166
1412242502.491685;1412242602.398008;27.6865
1412242502.591587;1412242602.497863;27.704
1412242502.691487;1412242602.597719;24.6166
1412242502.791481;1412242602.697666;24.0016
1412242502.891567;1412242602.797659;20.8687
1412242502.991744;1412242602.897699;22.5775
1412242503.091877;1412242602.997877;18.2734
1412242503.191963;1412242603.098009;18.0067
1412242503.292141;1412242603.198187;18.2625
1412242503.392364;1412242603.298410;17.5863
1412242503.492588;1412242603.398588;17.4048
1412242503.592766;1412242603.498812;16.3223
1412242503.692897;1412242603.598991;15.3897
1412242503.792845;1412242603.699030;13.9247
1412242503.892563;1412242603.798885;13.4391
1412242503.992188;1412242603.898602;12.79
1412242504.091812;1412242603.998320;12.8126
1412242504.191529;1412242604.098174;12.0426
1412242504.291339;1412242604.197892;11.0652
1412242504.391240;1412242604.297655;10.8157
1412242504.491095;1412242604.397510;10.7982
1412242504.590997;1412242604.497457;10.5017
1412242504.690990;1412242604.597451;10.1981
1412242504.790983;1412242604.697537;9.50432
1412242504.890793;1412242604.797668;7.98528
1412242504.990372;1412242604.897847;7.24782
1412242505.089721;1412242604.998071;6.92464
1412242505.189022;1412242605.098156;6.42325
1412242505.288371;1412242605.198011;6.05929
1412242505.387904;1412242605.297683;5.56212
1412242505.487667;1412242605.397400;5.02654
1412242505.587568;1412242605.497162;4.61333
1412242505.687654;1412242605.596972;4.62704
1412242505.787832;1412242605.696874;4.82688
1412242505.888010;1412242605.796774;4.66414
1412242505.988187;1412242605.896722;4.56602
1412242506.088181;1412242605.996531;4.41058
1412242506.187945;1412242606.096295;4.4391
1412242506.287569;1412242606.195919;4.68938
1412242506.387240;1412242606.295406;4.93072
1412242506.487050;1412242606.394801;4.91641
1412242506.586997;1412242606.494103;4.40337
1412242506.687036;1412242606.593543;4.28269
1412242506.787122;1412242606.693030;4.12222
1412242506.887208;1412242606.792655;4.12439
1412242506.987339;1412242606.892419;4.01353
1412242507.087333;1412242606.992319;3.92556
1412242507.187143;1412242607.092313;3.59374
1412242507.286814;1412242607.192399;3.92648
1412242507.386530;1412242607.292300;3.80179
1412242507.486386;1412242607.392109;3.56429
1412242507.586380;1412242607.491827;3.54458
1412242507.686466;1412242607.591498;3.47581
1412242507.786597;1412242607.691306;3.26091
1412242507.886544;1412242607.791346;3.1924
1412242507.986400;1412242607.891478;2.9843
1412242508.086116;1412242607.991609;2.88976
1412242508.185603;1412242608.091788;3.30382
1412242508.285182;1412242608.191874;2.87793
1412242508.384854;1412242608.291914;2.93376
1412242508.484754;1412242608.391952;2.69046
1412242508.584748;1412242608.492038;2.82381
1412242508.684926;1412242608.592124;2.46653
1412242508.785104;1412242608.692209;2.32865
1412242508.885328;1412242608.792295;2.41876
1412242508.985598;1412242608.892335;2.6359
1412242509.085868;1412242608.992421;3.3546
1412242509.186230;1412242609.092552;2.81363
1412242509.286546;1412242609.192685;2.95503
1412242509.386724;1412242609.292863;3.0525
1412242509.486764;1412242609.393086;3.99084
1412242509.586757;1412242609.493264;4.3989
1412242509.686613;1412242609.593304;4.45619
1412242509.786422;1412242609.693251;4.51059
1412242509.886139;1412242609.793106;4.5997
1412242509.985902;1412242609.892824;4.05955
1412242510.085758;1412242609.992587;4.78016
1412242510.185751;1412242610.092396;4.30344
1412242510.285790;1412242610.192251;5.22007
1412242510.385876;1412242610.292199;5.43687
1412242510.485962;1412242610.392147;5.83243
1412242510.586047;1412242610.492001;5.77368
1412242510.686179;1412242610.591626;5.92044
1412242510.786404;1412242610.691159;5.99834
1412242510.886536;1412242610.790507;6.81335
1412242510.986529;1412242610.889810;5.96135
1412242511.086384;1412242610.989066;6.07061
1412242511.186055;1412242611.088507;6.41179
1412242511.285635;1412242611.188178;5.65758
1412242511.385259;1412242611.288033;4.8775
1412242511.485022;1412242611.388027;5.44674
1412242511.584832;1412242611.488113;5.44703
1412242511.684778;1412242611.588198;5.90597
1412242511.784772;1412242611.688284;5.09112
1412242511.884812;1412242611.788416;6.72725
1412242511.984898;1412242611.888316;8.2298
1412242512.085121;1412242611.988034;8.38527
1412242512.185300;1412242612.087613;6.13263
1412242512.285293;1412242612.187146;6.03368
1412242512.385103;1412242612.286770;6.45636
1412242512.484773;1412242612.386533;6.0669
1412242512.584537;1412242612.486527;4.90525
1412242512.684392;1412242612.586659;5.96632
1412242512.784339;1412242612.686929;6.94308
1412242512.884379;1412242612.787245;8.39104
1412242512.984511;1412242612.887608;6.94171
1412242513.084689;1412242612.987969;6.60997
1412242513.184728;1412242613.088286;6.5958
1412242513.284630;1412242613.188510;8.44638
1412242513.384347;1412242613.288641;8.29365
1412242513.483925;1412242613.388635;8.63585
1412242513.583458;1412242613.488582;7.84536
1412242513.683037;1412242613.588438;8.04031
1412242513.782754;1412242613.688062;46.6694
1412242513.882563;1412242613.787595;46.7597
