x_1;y_1;z_1;phi_1;theta_1;psi_1;x_2;y_2;z_2;phi_2;theta_2;psi_2;d_x;d_y;d_z;d_phi;d_theta;d_psi
-1.544884372;0.6289479376;-0.8664383772;0.01237825573;0.005421228881;-2.206333814;-1.546291525;0.6292743969;-0.8717498714;0.01237393247;0.005415430493;-2.206354503;-0.001407153334;0.0003264592221;-0.005311494232;-4.323261697e-006;-5.798387961e-006;-2.068887656e-005
-1.547581279;0.6296271909;-0.8759755852;0.0122174666;0.005388746489;-2.206314755;-1.549225067;0.6301399886;-0.8817223813;0.01198539809;0.005370433443;-2.206275333;-0.001643788912;0.0005127976583;-0.005746796075;-0.0002320685034;-1.831304628e-005;3.942151034e-005
-1.550253189;0.6304475901;-0.8861258466;0.01194970771;0.005371690141;-2.206300075;-1.551344224;0.6306660424;-0.891750289;0.01214779041;0.005412064513;-2.206323571;-0.001091034944;0.0002184523489;-0.005624442344;0.000198082694;4.037437255e-005;-2.349531467e-005
-1.552263695;0.6308785088;-0.8967385229;0.01229965945;0.005388754279;-2.206309634;-1.553463617;0.6312967489;-0.9022366498;0.01230264007;0.005390781611;-2.206324134;-0.001199922399;0.0004182400668;-0.005498126871;2.980624743e-006;2.02733201e-006;-1.450008482e-005
-1.554900697;0.6318329355;-0.9079300438;0.01214435573;0.005393203834;-2.206322038;-1.556181644;0.6323204968;-0.9131736649;0.01212536516;0.005421993724;-2.206335721;-0.001280946665;0.0004875613028;-0.005243621157;-1.899056768e-005;2.878989035e-005;-1.368330298e-005
-1.569515092;0.6270451494;-0.9232714277;0.01206826441;0.005356014721;-2.206336673;-1.570722208;0.6272469091;-0.9292604956;0.01221446572;0.00535276899;-2.20633075;-0.001207115837;0.0002017596348;-0.005989067899;0.000146201307;-3.2457307e-006;5.922585532e-006
-1.571732554;0.6274882583;-0.934211451;0.01231126259;0.005377364717;-2.206336669;-1.573241514;0.6280111689;-0.9407241763;0.01224920079;0.005364546976;-2.206339703;-0.001508959766;0.0005229106552;-0.006512725342;-6.206180356e-005;-1.281774069e-005;-3.034394712e-006
-1.574451354;0.6284345851;-0.9457059117;0.01216249016;0.005360103246;-2.206331505;-1.575912899;0.6289340503;-0.95193341;0.01205772879;0.005373489176;-2.206329983;-0.001461544618;0.000499465153;-0.006227498251;-0.000104761371;1.338593024e-005;1.521771576e-006
-1.577029513;0.6293128018;-0.9575234791;0.01207814527;0.005404582238;-2.20635037;-1.578092259;0.6295965861;-0.9638394189;0.01229952834;0.005371283511;-2.206354201;-0.001062745527;0.0002837842544;-0.006315939796;0.0002213830671;-3.329872697e-005;-3.830843718e-006
-1.579172427;0.6299377547;-0.9702060463;0.01239652578;0.00537830151;-2.206376584;-1.580381745;0.6304399546;-0.9760607893;0.01228742451;0.005346254123;-2.206366023;-0.001209317933;0.0005021999197;-0.005854743089;-0.0001091012661;-3.204738759e-005;1.056045652e-005
-1.586083518;0.6262798896;-0.9718867646;0.01212058275;0.005389514055;-2.206367788;-1.587512766;0.6267750211;-0.9782309383;0.01203435569;0.005365589797;-2.206369542;-0.00142924805;0.0004951314767;-0.006344173771;-8.622705721e-005;-2.392425747e-005;-1.754064498e-006
-1.588396967;0.6270740023;-0.9834761995;0.01210674636;0.005386341448;-2.20637074;-1.589480687;0.6273819975;-0.9907201621;0.01226802374;0.005400576537;-2.206369131;-0.00108372075;0.0003079952117;-0.007243962591;0.000161277379;1.423508954e-005;1.608914382e-006
-1.590432005;0.6276968251;-0.9960797155;0.01235540502;0.005393801125;-2.206397738;-1.591737169;0.6282514309;-1.002639068;0.01227097213;0.005392500363;-2.20640113;-0.001305164839;0.0005546058262;-0.006559352293;-8.443288698e-005;-1.300762415e-006;-3.391527164e-006
-1.593003208;0.6288160485;-1.008725969;0.01217942343;0.005342949668;-2.20638392;-1.594297391;0.6293984207;-1.015422554;0.01206137208;0.005374194343;-2.206374336;-0.001294183009;0.0005823722076;-0.006696585014;-0.0001180513474;3.124467444e-005;9.583623106e-006
-1.595331813;0.6299398496;-1.022225548;0.01214152381;0.005376153671;-2.206389656;-1.596158172;0.6303883346;-1.028579167;0.01229302757;0.005406154591;-2.206396933;-0.0008263585945;0.0004484849431;-0.006353618742;0.0001515037611;3.000091973e-005;-7.277541647e-006
-1.600730403;0.6254349816;-1.01708315;0.01231959194;0.005371966846;-2.206397116;-1.602082912;0.6259289946;-1.023835284;0.01233048572;0.005339209098;-2.206412927;-0.001352508599;0.0004940129735;-0.006752133512;1.0893788e-005;-3.275774751e-005;-1.581113969e-005
-1.603200311;0.626441082;-1.029407114;0.01223765214;0.005309240745;-2.206419651;-1.604571602;0.6271093907;-1.03693071;0.01210346189;0.005319248297;-2.206392574;-0.001371291615;0.0006683086524;-0.007523595997;-0.0001341902574;1.000755128e-005;2.707685337e-005
-1.60543347;0.6275143048;-1.04262515;0.01209941824;0.005331181142;-2.20637874;-1.606572225;0.627949331;-1.050295429;0.0122433063;0.005341456056;-2.206393904;-0.001138755256;0.0004350261799;-0.007670279593;0.0001438880562;1.0274914e-005;-1.516374332e-005
-1.607417236;0.6283562221;-1.056058317;0.01231082105;0.005342359918;-2.206392902;-1.608559836;0.6289639069;-1.063191466;0.01223902389;0.005319288277;-2.206390019;-0.001142599718;0.0006076847987;-0.0071331485;-7.179716002e-005;-2.307164064e-005;2.883075638e-006
